10101,윤민현,87,68
10102,신수빈,98,85
10103,송혜민,77,53
10104,임진태,68,64
10105,박승윤,28,52
10106,양훈율,64,56
10107,조성채,41,54
10108,송율호,77,58
10109,송혁연,100,92
10110,박혜유,91,76
10111,심성동,65,71
10112,주유훈,71,80
10113,한경유,92,86
10114,곽태태,66,82
10115,조영우,93,95
10116,하동훈,59,61
10117,차상서,78,68
10118,안윤빈,41,32
10119,양채윤,63,72
10120,권민율,64,59
10121,곽도동,90,93
10122,조호은,80,78
10123,서주채,65,88
10124,성예연,94,85
10125,배림하,41,79
10126,성호아,77,65
10127,남아나,56,75
10128,윤동재,95,84
10129,홍수성,39,55
10130,유빈재,73,56
10131,정영은,95,80
10132,조동도,53,56
10133,고진연,69,67
10134,김지도,23,46
10135,윤서영,35,39
10136,장준은,25,42
10137,성영유,95,92
10138,박영진,61,50
10139,권진호,67,80
10140,노성혁,97,78
10141,홍채혁,82,50
10142,하동윤,57,46
10143,고빈호,88,75
10144,류재주,36,34
10145,배재민,68,76
10146,허호아,48,58
10147,강혜태,39,46
10148,정채림,95,86
10149,김림영,82,44
10150,하원재,26,36
10151,성훈상,71,78
10152,노유림,67,81
10153,하원수,77,33
10154,강도수,48,45
10155,조서나,74,85
10156,손나상,83,73
10157,권현원,89,100
10158,장혁윤,35,25
10159,유주현,70,82
10160,조수서,63,89
10161,이상주,63,79
10162,신원수,92,58
10163,주민우,58,54
10164,황예경,70,38
10165,차경은,66,44
10166,심예상,100,84
10167,송빈동,41,52
10168,황나예,46,61
10169,구호지,64,65
10170,송영율,71,82
10171,심채민,69,76
10172,성윤유,35,43
10173,윤승지,24,38
10174,하훈혁,50,54
10175,전민윤,76,87
10176,김훈원,89,82
10177,정훈율,60,72
10178,우경진,91,80
10179,구상예,47,38
10180,성서민,74,47
10181,유서수,86,79
10182,윤재연,25,47
10183,류채원,69,71
10184,우준채,66,100
10185,송훈태,72,61
10186,강원유,62,65
10187,배혜재,66,88
10188,노혜민,61,33
10189,하은태,94,97
10190,허영원,85,77
10191,김재예,42,37
10192,노율유,70,59
10193,우아영,48,83
10194,조지경,88,98
10195,허윤은,92,84
10196,황훈수,63,43
10197,임아준,97,97
10198,하림민,59,67
10199,고나영,58,100
10200,권태채,93,65
10201,이준경,68,71
10202,오하서,72,46
10203,주하원,76,67
10204,주우상,43,36
10205,문훈혁,61,87
10206,최림태,91,82
10207,권빈은,95,96
10208,장빈림,89,92
10209,강림지,43,84
10210,노림나,84,99
